value;name
ADVANTAGE AIR TRAVEL LIMITED;ADVANTAGE AIR TRAVEL
AEROCONTROL GROUP DWC-LLC;AEROCONTROL GROUP
AIR ARABIA LLC;AIR ARABIA
AIR MAURITIUS LTD;AIR MAURITIUS
AIR MAURITIUS LTD;AIR MAURITIUS
AIR SEYCHELLES LTD;AIR SEYCHELLES
AIR TANZANIA COPMPANY LIMITED;AIR TANZANIA
AIR TRAFFIC LTD;AIR TRAFFIC
ALEXJETS SAN MARINO SRL;ALEXJETS SAN MARINO
ALS LTD;ALS
AMREF- FLYING DOCTOR SERVICE;AMREF FLYING DOCTOR SERVICE
ARROWAVIA FZSO;ARROWAVIA
ASTRAL AVIATION LTD;ASTRAL AVIATION
AVIOR FZE;AVIOR
BAR AVIATION LTD;BAR AVIATION
BLUE BIRD AVIATION LTD;BLUE BIRD AVIATION
BRITISH AIRWAYS PLC;BRITISH AIRWAYS
CONDOR FLUGDIENST GM;CONDOR FLUGDIENST
DHL AVIATION EEMEA B.S.C.;DHL AVIATION
DRAGON FLY AVIATION LTD;DRAGON FLY AVIATION
EL AL ISRAEL AIRLINE;EL AL ISRAEL AIRLINES
ETHIOPIAN AIRLINES E;ETHIOPIAN AIRLINES
ETHOPIAN AIRFORCE;ETHIOPIAN AIRFORCE
FILHGTWORX AVIATION;FLIGHTWORX AVIATION
FREEDOM AIRLINES EXPRESS LTD;FREEDOM AIRLINES
GLOBAL SERVICE SOLUTION FZCO,;GLOBAL SERVICE SOLUTION
IHC CAPITAL HOLDING L.L.C;IHC CAPITAL HOLDING
INTâ€™L COMMITTEE OF THE RED CROSS;INTERNATIONAL COMMITTEE OF THE RED CROSS
INTERGLOBE AVIATION LIMITED (INDIGO;INDIGO
JETEX FLIGHT SUPPORT (JETEX FZE);JETEX FLIGHT SUPPORT
KENYA AIRWAYS LTD;KENYA AIRWAYS
NOEVIR AVIATION INC;NOEVIR AVIATION
OMNI AIRRE INTERNATIONAL;OMNI AIR INTERNATIONAL
ROYAL JET LLC;ROYAL JET
RWANDAIR EXPRESS;RWANDAIR
SAC (K) LIMITED;SAC
SAFAIR (PTY) LTD;SAFAIR
SKYPLAN SERVICES FZCO;SKYPLAN SERVICES
SS AVIATION SERVICES COORDINATOR LLC;SS AVIATION SERVICES COORDINATOR
UNITED AVAITION SERVICES UAS;UNITED AVIATION SERVICES
VISTAJET LTD;VISTAJET
ACE BELGIUM FREIGHTERS S.A.;ACE BELGIUM FREIGHTERS
AFRICAN MEDICAL & RESEARCH FOUNDATION (AMREF FLYING DOCTORS);AMREF FLYING DOCTORS
AIR INDIA LIMITED;AIR INDIA
AIR MAURITIUS LIMITED;AIR MAURITIUS
AIR MOBILITY COMMAND (AMC);AIR MOBILITY COMMAND
ALEXJET AIRCRAFT & REQUISITES LEASING L.L.C;ALEXJET AIRCRAFT LEASING
AMAC CORPORATE JET AG;AMAC CORPORATE JET
AMERIFLIGHT, INC. (BURBANK, CA);AMERIFLIGHT
ASTRAL AVIATION LIMITED;ASTRAL AVIATION
AVIASERVIS L.L.C.;AVIASERVIS
BAHRAIN ROYAL FLIGHT (BAH);BAHRAIN ROYAL FLIGHT
BERRY AVIATION, INC. (SAN MARCOS, TX);BERRY AVIATION
BESTFLY AIRCRAFT MANAGEMENT ARUBA;BESTFLY AIRCRAFT MANAGEMENT
CHARTERLINK DMCC (D.B.A JUST AVIATION);CHARTERLINK
CITE AVIATION LLC;CITE AVIATION
COMLUX ARUBA;COMLUX
CONDOR FLUGDIENST GMBH, FRANKFURT (MAIN);CONDOR FLUGDIENST
DASSAULT FALCON SERVICE, STE.;DASSAULT FALCON SERVICE
DEPARTMENT OF THE ARMY, PRIORITY AIR TRANSPORT (DAVISON AVIATION COMMAND) (FORT BELVOIR, VA);US ARMY AIR TRANSPORT
DEUTSCHE LUFTHANSA, AG, KOELN;LUFTHANSA
DHL AVIATION EEMEA B.S.C.(C);DHL AVIATION
EASTERN AIRLINES, LLC (HIGH POINT, NC);EASTERN AIRLINES
EL AL - ISRAEL AIRLINES LTD.;EL AL ISRAEL AIRLINES
ETHIOPIAN AIRLINES CORPORATION;ETHIOPIAN AIRLINES
FAI RENT-A-JET AG;FAI RENT-A-JET
FEDERAL EXPRESS CORPORATION;FEDEX
FLY PRO SRL;FLY PRO
HARMONY JETS LIMITED;HARMONY JETS
I FLY AIR SOLUTIONS LTD;I FLY AIR SOLUTIONS
INTERGLOBE AVIATION PRIVATE LTD (T/A INDIGO);INDIGO
JET AVIATION, BUSINESS JETS AG;JET AVIATION
KENYA AIRWAYS LTD.;KENYA AIRWAYS
LUCKY CEMENT LIMITED;LUCKY CEMENT
MYWAY AIRLINES CO LTD;MYWAY AIRLINES
NEOS S.P.A.;NEOS
NOMAD AVIATION AG;NOMAD AVIATION
OMNI AIR INTERNATIONAL, INC. (TULSA, OK);OMNI AIR INTERNATIONAL
PAKISTAN INTERNATIONAL AIRLINES CORPORATION (PIA);PAKISTAN INTERNATIONAL AIRLINES
PHOENIX AVIATION LTD.;PHOENIX AVIATION
QANTAS AIRWAYS LIMITED;QANTAS AIRWAYS
QATAR AIRWAYS COMPANY;QATAR AIRWAYS
RAF-HQSTC (AIR TRANSPORT);RAF HQSTC AIR TRANSPORT
ROYAL JET GROUP;ROYAL JET
RWANDAIR LTD.;RWANDAIR
SAFARILINK AVIATION LTD;SAFARILINK AVIATION
SKY TAXI SP. Z.O.O.;SKY TAXI
SUNEXPRESS DEUTSCHLAND GMBH, FRANKFURT (MAIN);SUNEXPRESS
SWISS PRIVATE JET SA;SWISS PRIVATE JET
TAG AVIATION ASIA LIMITED;TAG AVIATION ASIA
TRANS AFRICA AVIATION & LOGISTICS GROUP LTD;TRANS AFRICA AVIATION
TURK HAVA YOLLARI (TURKISH AIRLINES CO.);TURKISH AIRLINES
UGANDA NATIONAL AIRLINES COMPANY LIMITED DBA UGANDA AIRLINES;UGANDA AIRLINES
VISTAJET LTD. - MALTA;VISTAJET
VISTAJET LTD;VISTAJET
ZEYTIN 1 (CAYMAN) LIMITED;ZEYTIN 1